"CNN","Corridor","Limits","CNNRightLeft","BlockSide","FullName","WeekDay","FromHour","ToHour","Week1","Week2","Week3","Week4","Week5","Holidays","BlockSweepID","Line"
"12179000","Stevenson St","Clinton Park  -  14th St","L","East","Thursday","Thu","8","10","1","1","1","1","1","0","1646745","LINESTRING (-122.421470178794 37.769338798681, -122.421364522048 37.768190110101)"
"11589000","Santa Rosa Ave","Mission St  -  Alemany Blvd","L","SouthWest","Monday","Mon","7","9","1","1","1","1","1","0","1632062","LINESTRING (-122.43398235555 37.72576179005, -122.435990944925 37.726719219868)"
"5685000","Folsom St","12th St  -  13th St","R","West","Monday","Mon","4","6","1","1","1","1","1","0","1620787","LINESTRING (-122.414996654595 37.77089610885, -122.41530845376 37.770358754028, -122.415577015569 37.769591160585)"
"11263000","Sacramento St","Baker St  -  Lyon St","R","North","Tue 1st & 3rd","Tues","9","11","1","0","1","0","0","0","1621180","LINESTRING (-122.443940018035 37.788570190109, -122.445588636288 37.788363752329)"
"5573000","Fillmore St","Retiro Way  -  Marina Blvd","R","East","Tue 1st & 3rd","Tues","9","11","1","0","1","0","0","0","1620673","LINESTRING (-122.437432924995 37.806262395256, -122.437461294133 37.806401780648)"
"5521000","Filbert St","Webster St  -  Fillmore St","L","South","Fri 1st & 3rd","Fri","9","11","1","0","1","0","0","0","1631265","LINESTRING (-122.434035700135 37.798230070676, -122.435678212051 37.798021122513)"
"7418000","Jackson St","Cherry St  -  Arguello Blvd","L","South","Tue 1st & 3rd","Tues","10","12","1","0","1","0","0","0","1615957","LINESTRING (-122.457412045815 37.789560915365, -122.459452537003 37.789300949922)"
"2932000","Benton Ave","Porter St  -  Bache St","R","South","Thu 2nd & 4th","Thu","8","10","0","1","0","1","0","0","1627355","LINESTRING (-122.418190982821 37.733984236636, -122.417570944805 37.733949351663)"
"6723000","Harrison St","Morris St  -  06th St","R","NorthWest","Friday","Fri","4","6","1","1","1","1","1","0","1608866","LINESTRING (-122.403529641929 37.7776998274, -122.404070256834 37.777272702501)"
"6116000","Geary St","Hyde St  -  Larkin St","R","North","Friday","Fri","6","8","1","1","1","1","1","0","1622125","LINESTRING (-122.416449123004 37.786310218483, -122.41808809815 37.786101039683)"
"2563000","Avalon Ave","Athens St  -  Moscow St","L","NorthEast","Thursday","Thu","10","12","1","1","1","1","1","0","1627326","LINESTRING (-122.426092844849 37.724760120172, -122.42530158494 37.72438236343)"
"8589000","Mabrey Ct","Start: 01-17 Block  -  Whitney Young Cir","R","NorthWest","Wednesday","Wed","9","11","1","1","1","1","1","0","1640306","LINESTRING (-122.385405098232 37.73596098657, -122.385628114014 37.735830344818, -122.385772334831 37.735783958735)"
"11463000","San Jose Ave","San Jose Ave  -  Lakeview Ave","L","SouthEast","Fri 1st & 3rd","Fri","8","10","1","0","1","0","0","0","1605326","LINESTRING (-122.449572446391 37.717114907667, -122.450378354498 37.716168965087)"
"3143000","Broadway","Davis St  -  Front St","R","North","Thursday","Thu","2","6","1","1","1","1","1","0","1635072","LINESTRING (-122.398695702376 37.798880967338, -122.399873457754 37.798729001446)"
"3317000","Bryant St","Cesar Chavez St  -  Precita Ave","L","East","Thursday","Thu","9","11","1","1","1","1","1","0","1646619","LINESTRING (-122.408706313459 37.748352847539, -122.408663185006 37.747952906475)"
